Movie Title,Year,Score,Director,Synopsis,Cast,Consensus
Inglourious Basterds,2009,89%,Quentin Tarantino," ""Inglourious Basterds"" begins in German-occupied France, where Shosanna Dreyfus witnesses the execution of her family at the hand of Nazi...","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","A classic Tarantino genre-blending thrill ride, Inglourious Basterds is violent, unrestrained, and thoroughly entertaining."
Baahubali 2: The Conclusion,2017,90%,S.S. Rajamoul," The long-awaited sequel to Baahubali: The Beginning, one of the top-grossing Indian epic historical fantasy films of all-time, the conclusion...","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia",No consensus yet.
Fire In The Blood,2013,90%,"lan Mohan Gray, Dylan Gra", A shocking exposé of how pharmaceutical companies use patent law to keep profits unconscionably high even at the expense of...,"William Hurt, Bill Clinton, Zackie Achmat, Linda-Gail Bekker, MD",No consensus yet.
The Night Comes For Us,2018,90%,Timo Tjahjanto," The Night Comes For Us follows Ito (played by Joe Taslim), a former triad enforcer, and his mission to protect...","Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang","A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch."
Veronica (Verónica),2017,90%,Paco Plaza, Veronica has taken care of her little brother and sister since the death of their father. One day during a...,"Sandra Escacena, Bruna González, Claudia Placer","A scarily effective horror outing, Veronica proves it doesn't take fancy or exotic ingredients to craft skin-crawling genre thrills."
Blue Jay,2016,90%,Alexandre Lehmann, Former high school sweethearts Jim (Mark Duplass) and Amanda (Sarah Paulson) have been out of touch for more than 20...,"Mark Duplass, Sarah Paulson, Clu Gulager",No consensus yet.
Our Souls at Night,2017,90%,Ritesh Batra, Based on the best-selling novel written by Kent Haruf and adapted for the screen by Scott Neustadter and Michael H....,"Jane Fonda, Robert Redford, Bruce Dern, Matthias Schoenaerts",Our Souls at Night honors the quiet strength of its source material by offering a simple yet sturdy canvas for two talented veteran leads to bring its story to life.
1922,2017,90%,Zak Hilditch, 1922 is based on Stephen King's 131-page story telling of a man's confession of his wife's murder. The tale is...,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard","Thanks to director Zak Hilditch's patient storytelling and strong work from lead Thomas Jane, 1922 ranks among the more satisfying Stephen King adaptations."
Paddleton,2019,90%,Alexandre Lehmann, An unlikely friendship between two misfit neighbors becomes an unexpectedly emotional journey when the younger man is diagnosed with terminal...,"Ray Romano, Mark Duplass","It takes its time coming together, but the quietly effective Paddleton pulls off a tricky tonal balancing act, thanks largely to the strengths of its well-chosen leads."
La Bamba,1987,90%,Luis Valdez," La Bamba is the story of 1950s rock 'n' roll rage Ritchie Valens (born Ricardo Valenzuela), played herein with gusto...","Lou Diamond Phillips, Esai Morales, Danielle von Zerneck, Rosanna DeSoto","Elevated by a perceptive performance by a perfectly cast Lou Diamond Phillips, La Bamba distills its subject's creative energy -- and reflects his music's enduring appeal."
Walking Out,2017,90%,"Alex Smith, Andrew J. Smith"," A teenager, David, journeys to Montana to hunt big game with his estranged father, Cal. Father and son struggle to...","Matt Bomer, Josh Wiggins, Bill Pullman, Lily Gladstone","Beautifully filmed and powerfully acted, Walking Out effectively balances tense father-son drama against an affecting wilderness survival story."
What's Eating Gilbert Grape,1993,90%,Lasse Hallstrom," Gilbert has to care for his brother Arnie and his obese mother, which gets in the way when love walks...","Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen","It's sentimental and somewhat predictable, but those are small complaints, given the tender atmosphere and moving performances at the heart of What's Eating Gilbert Grape."
Tootsie,1982,90%,Sydney Pollack," Michael Dorsey is a talented actor, but his demanding nature and stubborn temperament have antagonized every producer in New York....","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman",Tootsie doesn't squander its high-concept comedy premise with fine dialogue and sympathetic treatment of the characters.
