Movie Title,Year,Score,Director,Synopsis,Cast,Consensus
Emelie,2016,88%,Michael Thelin," As their parents head out for a date in the city, the three young Thompson children immediately take to their...","Sarah Bolger, Joshua Rush, Carly Adams, Thomas Bair",No consensus yet.
The Workshop (L'atelier),2018,88%,Laurent Can," La Ciotat, the South of France. Antoine attends a summer writing workshop in which a few young people have been...","Marina Foïs, Matthieu Lucci, Warda Rammach, Issam Talbi",No consensus yet.
Tremors,1990,88%,Ron Underwoo," Tremors is actually two movies in one. On its own terms, it's an enjoyable modern sci-fi horror-thriller, with good pacing...","Kevin Bacon, Fred Ward, Finn Carter, Rhonda Le Beck","An affectionate throwback to 1950s creature features, Tremors reinvigorates its genre tropes with a finely balanced combination of horror and humor."
The Great Hack,2019,88%,"Jehane Noujaim, Karim Am"," Data, arguably the world's most valuable asset, is being weaponized to wage cultural and political wars. The dark world of...",,The Great Hack offers an alarming glimpse of the way data is being weaponized for political gain -- and what it might mean for future elections.
Phantom Boy,2016,88%,"Alain Gagnol, Jean-Loup Feliciol"," Leo has a secret. A mysterious illness has transformed him into a phantom boy, able to leave the confines of...","Audrey Tautou, Fred Armisen, Jean-Pierre Marielle, Édouard Baer",Phantom Boy's stunning animation and old-fashioned charm more than make up for a relative lack of narrative depth.
True Grit,1969,88%,Henry Hathawa," In fine Hollywood tradition, John Wayne had to play a ""one-eyed fat man"" before the Motion Picture Academy considered him...","John Wayne, Kim Darby, Glen Campbell, Robert Duvall","True Grit rides along on the strength of a lived-in late-period John Wayne performance, adding its own entertaining spin to the oft-adapted source material."
The Incredible Jessica James,2017,88%,James C. Strous, An aspiring NYC playwright (Jessica Williams) gets over a painful breakup by bonding with a man who was also recently...,"Jessica Williams, LaKeith Stanfield, Noël Wells, Taliyah Whitaker","The Incredible Jessica James makes its standard storyline feel new, almost purely on the strength of a captivating, potentially star-making performance from Jessica Williams."
Indiana Jones and the Last Crusade,1989,88%,Steven Spielberg," The third installment in the Spielberg/Lucas Indiana Jones saga, Indiana Jones and the Last Crusade evokes many of the thrills...","Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott","Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery."
Cargo,2018,88%,"Yolanda Ramke, Ben Howling"," Stranded in rural Australia in the aftermath of a violent pandemic, an infected father desperately seeks a new home for...","Martin Freeman, Natasha Wanganeen, David Gulpilil, Anthony Hayes",Cargo takes a refreshingly character-driven approach to the zombie genre that's further distinguished by its Australian setting and Martin Freeman's terrific lead performance.
Morris from America,2016,88%,Chad Hartigan," This coming-of-age drama follows 13-year-old Morris as he moves to Heidelberg, Germany with his father and adjusts to his vastly...","Markees Christmas, Carla Juri, Lina Keller, Jakub Gierszal",Morris from America adds some novel narrative twists to its father-son story -- and gains added resonance thanks to a powerful performance from Craig Robinson.
The Invitation,2016,88%,Karyn Kusama," In this taut psychological thriller by Karyn Kusama (Girlfight, Jennifer's Body), the tension is palpable when Will (Logan Marshall-Green, Prometheus)...","Michiel Huisman, Logan Marshall-Green, John Carroll Lynch, Tammy Blanchard",The Invitation makes brilliant use of its tension-rich premise to deliver a uniquely effective -- and surprisingly clever -- slow-building thriller.
Christine,2016,88%,Antonio Campos," Rebecca Hall stars in director Antonio Campos' third feature film, CHRISTINE, the story of a woman who finds herself caught...","Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia","Rising on the strength of Rebecca Hall's gripping performance, Christine offers an empathetic look at its subject's public career and painful private life."
Mystic River,2003,88%,Clint Eastwoo," Directed by Clint Eastwood, the mysterious drama Mystic River is based on the novel by Dennis Lehane and adapted by...","Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne","Anchored by the exceptional acting of its strong cast, Mystic River is a somber drama that unfolds in layers and conveys the tragedy of its story with visceral power."
The Lobster,2016,88%,Yorgos Lanthimos," Colin Farrell stars as David, a man who has just been dumped by his wife. To make matters worse, David...","Colin Farrell, Rachel Weisz, Léa Seydoux, Ben Whishaw","As strange as it is thrillingly ambitious, The Lobster is definitely an acquired taste -- but for viewers with the fortitude to crack through Yorgos Lanthimos' offbeat sensibilities, it should prove a savory cinematic treat."
Ralph Breaks the Internet,2018,88%,"Phil Johnston, Rich Moo"," In ""Ralph Breaks the Internet,"" video-game bad guy Ralph (voice of John C. Reilly) and best friend Vanellope von Schweetz...","John C. Reilly, Sarah Silverman, Gal Gadot, Jack McBrayer","Ralph Breaks the Internet levels up on its predecessor with a funny, heartwarming sequel that expands its colorful universe while focusing on core characters and relationships."
Ant-Man and the Wasp,2018,88%,Peyton R," From the Marvel Cinematic Universe comes a new chapter featuring heroes with the astonishing ability to shrink: ""Ant-Man and The...","Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins","A lighter, brighter superhero movie powered by the effortless charisma of Paul Rudd and Evangeline Lilly, Ant-Man and The Wasp offers a much-needed MCU palate cleanser."
